project_id,country,age_group,Gender,Region,SEL,expectedcompletes
164113,CO,0,Male,0,0,3443.0
164296,CL,0,Male,0,0,2647.0
163358,BR,0,Male,0,0,2333.0
164661,MX,18-22,0,0,0,1993.0
164113,CO,55-99,0,0,0,1976.0
163509,BR,0,Male,0,0,1815.0
164296,CL,0,Female,0,0,1745.0
163509,BR,0,0,0,0,1531.0
163753,MX,15-18,0,0,0,1465.0
163358,BR,60-70,0,0,0,1437.0
164113,CO,0,Female,0,0,1412.0
164113,CO,0,0,Amazonica,0,1248.0
164113,CO,0,0,Orinoquia,0,1245.0
164113,CO,0,0,Oriental,0,1211.0
164113,CO,0,0,0,Estrato 3,1196.0
163358,BR,0,0,Sul,0,1190.0
163754,MX,16-18,0,0,0,1171.0
164113,CO,0,0,Pacific,0,1169.0
164661,MX,0,Male,0,0,1152.0
163358,BR,45-59,0,0,0,1084.0
164103,BR,0,0,0,C2,1069.0
163509,BR,0,0,0,0,1062.0
163030,BR,0,Male,0,0,1029.0
164103,BR,0,0,0,C1,1026.0
164065,BR,18-24,Male,0,0,1002.0
164113,CO,0,0,0,Estrato 5,989.0
164050,BR,0,Male,Centro-Oeste,0,986.0
164278,GT,13-40,0,0,0,979.0
163824,BR,0,0,0,0,974.0
164113,CO,0,0,0,Estrato 4,968.0
163358,BR,0,0,Nordeste,0,963.0
164109,MX,18-25,0,0,0,911.0
164653,MX,0,Male,0,0,911.0
164590,BR,0,Male,0,0,899.0
164590,BR,0,0,0,C2,899.0
164590,BR,18-24,0,0,0,899.0
164050,BR,55-65,0,0,0,898.0
164296,CL,0,0,0,E,893.0
164050,BR,0,0,0,B1,890.0
164296,CL,18-25,0,0,0,885.0
164296,CL,56-65,0,0,0,885.0
164296,CL,0,0,0,D,878.0
164296,CL,46-55,0,0,0,875.0
164296,CL,36-45,0,0,0,875.0
163824,BR,0,Male,0,0,874.0
164296,CL,0,0,0,C2,872.0
164296,CL,26-35,0,0,0,870.0
164526,BR,0,Male,0,0,813.0
164050,BR,45-54,0,0,0,808.0
164429,CO,0,Male,0,0,803.0
163509,BR,55-99,0,0,0,785.0
164050,BR,0,0,0,C2,778.0
164065,BR,0,Male,0,0,773.0
163509,BR,0,Female,0,0,767.0
164050,BR,18-24,0,0,0,765.0
164050,BR,0,0,0,C1,747.0
164661,MX,0,Female,0,0,745.0
164113,CO,18-24,0,0,0,731.0
164526,BR,0,Female,0,0,730.0
164113,CO,0,0,0,Estrato 2,724.0
164590,BR,0,0,Centro-Oeste,0,720.0
164113,CO,45-54,0,0,0,719.0
164113,CO,35-44,0,0,0,715.0
164113,CO,25-34,0,0,0,714.0
164050,BR,0,0,0,B2,706.0
162490,CO,18-24,0,0,0,695.0
164050,BR,25-34,0,0,0,671.0
164050,BR,35-44,0,0,0,668.0
164251,BR,0,Female,0,0,661.0
163509,BR,45-54,0,0,0,659.0
163824,BR,18-24,0,Sudeste,0,632.0
163754,MX,0,Male,0,0,587.0
163754,MX,0,Female,0,0,584.0
163509,BR,18-24,0,0,0,563.0
164526,BR,50-99,0,0,0,554.0
164429,CO,0,Female,0,0,523.0
163252,BR,0,Male,0,0,518.0
164526,BR,30-49,0,0,0,499.0
164113,CO,0,0,0,Estrato 6,497.0
159961,BR,0,Male,0,0,492.0
164526,BR,18-29,0,0,0,490.0
163030,BR,0,0,0,0,488.0
164050,BR,0,Male,Norte,0,488.0
164421,DO,18-65,0,0,0,483.0
164113,CO,0,0,0,Estrato 1,481.0
164422,DO,18-65,0,0,0,468.0
164050,BR,0,Male,Sul,0,461.0
163030,BR,18-24,0,Nordeste,0,446.0
164296,CL,0,0,0,AB,446.0
164103,BR,0,0,Norte,0,440.0
164296,CL,0,0,0,C1b,437.0
164296,CL,0,0,0,C1a,436.0
164050,BR,0,Male,Nordeste,0,430.0
164296,CL,0,0,0,C3,428.0
164103,BR,0,0,Centro-Oeste,0,426.0
164050,BR,0,Female,Norte,0,424.0
162261,NI,0,Male,0,0,421.0
162951,PA,40-99,Male,0,0,415.0
164519,CL,18-34,0,0,0,414.0
159961,BR,0,0,0,C2,409.0
163388,GT,46-55,0,0,0,408.0
164526,BR,0,0,0,C1,407.0
164526,BR,0,0,0,C2,406.0
164181,CL,0,Male,0,0,405.0
164519,CL,51-99,0,0,0,402.0
158087,CL,0,0,0,0,400.0
158087,CL,0,0,0,0,400.0
158087,CR,0,0,0,0,399.0
158087,CR,0,0,0,0,399.0
158087,CR,0,0,0,0,399.0
158087,CO,0,0,0,0,399.0
158087,CL,0,0,0,0,398.0
158087,CO,0,0,0,0,398.0
158087,CO,0,0,0,0,397.0
164050,BR,0,0,0,A,397.0
163358,BR,0,0,0,B1,394.0
164103,BR,0,0,Sul,0,392.0
158087,CL,18-24,0,0,0,390.0
164050,BR,0,Female,Centro-Oeste,0,390.0
164412,UY,0,0,0,0,389.0
158087,CR,0,0,0,0,388.0
158087,CR,0,0,0,0,387.0
164400,CL,0,Male,0,0,387.0
163583,CO,26-35,0,0,0,386.0
164181,AR,0,Male,0,0,384.0
158087,CL,0,0,0,0,384.0
158087,CL,0,0,0,0,381.0
164313,BR,0,Male,0,0,379.0
164599,BR,0,0,0,C2,378.0
158087,CO,0,0,Orinoquia,0,376.0
158087,CL,45-54,0,0,0,375.0
164103,BR,0,0,Nordeste,0,375.0
158087,CL,25-34,0,0,0,374.0
158087,CL,35-44,0,0,0,373.0
158087,CR,25-34,0,0,0,371.0
164050,BR,0,Male,Sudeste,0,371.0
158087,CR,45-54,0,0,0,370.0
164615,AR,0,Male,0,0,369.0
163427,BO,45-99,Female,0,0,368.0
164599,BR,0,0,0,C1,364.0
158087,CO,0,0,0,0,364.0
158087,CR,35-44,0,0,0,362.0
158087,CO,0,0,0,0,362.0
164181,AR,0,Female,0,0,361.0
162490,CO,0,0,0,Estrato 4,360.0
158087,CR,55-99,0,0,0,357.0
158087,CR,18-24,0,0,0,355.0
158087,CL,55-99,0,0,0,355.0
163872,CL,0,Male,0,0,352.0
163388,CR,0,0,Other,0,346.0
164429,CO,18-24,0,0,0,346.0
164526,BR,0,0,Norte,0,345.0
164400,CL,0,Female,0,0,344.0
164400,CL,55-99,0,0,0,344.0
163509,BR,35-44,0,0,0,343.0
164088,BR,0,0,0,C1,343.0
163358,BR,0,0,0,A,341.0
163824,BR,25-34,0,Sudeste,0,340.0
162490,CO,0,0,0,Estrato 3,335.0
163824,BR,35-44,0,Sudeste,0,334.0
164526,BR,0,0,Centro-Oeste,0,334.0
164429,CO,25-34,0,0,0,333.0
164429,CO,45-55,0,0,0,330.0
164637,MX,0,0,0,0,330.0
164637,MX,0,0,0,0,330.0
164429,CO,35-44,0,0,0,317.0
164526,BR,0,0,Sul,0,313.0
158087,CO,0,0,Pacific,0,312.0
164455,MX,0,Male,0,0,311.0
158087,CO,0,0,Atlantic,0,310.0
164526,BR,0,0,0,D-E,310.0
163529,MX,0,Male,0,0,309.0
163427,BO,45-99,Male,0,0,307.0
159961,BR,45-65,0,0,0,304.0
164526,BR,0,0,Nordeste,0,303.0
158087,CO,55-99,0,0,0,302.0
158087,CO,0,0,Oriental,0,302.0
164088,BR,16-17,0,0,0,299.0
164050,BR,0,Female,Sul,0,299.0
164695,MX,0,0,0,0,296.0
163252,BR,0,0,0,D-E,294.0
163754,MX,0,0,0,A/B,294.0
163754,MX,0,0,0,C,294.0
163754,MX,0,0,0,C-,292.0
164313,BR,0,0,Nordeste,0,292.0
164050,BR,0,0,0,D-E,292.0
163754,MX,0,0,0,C+,291.0
164637,MX,0,0,0,0,291.0
163605,CL,0,Male,0,0,287.0
164313,BR,60-99,0,0,0,282.0
164429,CO,0,0,0,Estrato 6,279.0
164511,CL,0,Male,0,0,279.0
163030,BR,45-54,0,Nordeste,0,279.0
163868,HN,45-65,0,0,0,274.0
163868,HN,26-44,0,0,0,274.0
164429,CO,0,0,0,Estrato 5,272.0
163030,BR,35-44,0,Nordeste,0,270.0
159961,BR,0,0,Norte,0,269.0
158087,CO,18-24,0,0,0,269.0
162154,PE,25-34,0,0,0,267.0
158087,CO,45-54,0,0,0,266.0
148345,GT,18-24,0,0,0,265.0
162261,NI,0,Female,0,0,264.0
162154,PE,35-44,0,0,0,262.0
164442,GT,0,Male,0,0,253.0
163252,BR,0,0,0,C2,251.0
164442,GT,0,Female,0,0,250.0
164526,BR,0,0,Sudeste,0,248.0
164477,MX,0,Male,0,0,247.0
164615,AR,0,0,0,D2E,247.0
163847,PA,18-24,Male,0,0,243.0
164455,MX,19-25,0,0,0,240.0
164611,BR,0,0,Sul,0,237.0
163754,MX,0,0,0,0,235.0
163754,MX,0,0,0,0,234.0
164088,BR,0,0,0,C2,234.0
163754,MX,0,0,0,0,234.0
163754,MX,0,0,0,0,234.0
163754,MX,0,0,0,0,233.0
163509,BR,25-34,0,0,0,232.0
164446,MX,18-24,0,0,0,231.0
158087,CO,35-44,0,0,0,229.0
164455,MX,0,0,0,D,227.0
164305,MX,0,Male,0,0,227.0
163529,MX,45-55,0,0,0,227.0
162490,CO,0,Male,0,0,227.0
162316,MX,0,Male,0,0,226.0
164639,BR,0,0,Norte,0,225.0
163870,SV,0,0,Oriental,0,222.0
164305,MX,0,Male,0,0,221.0
164615,AR,0,0,0,D1,218.0
162951,PA,0,0,Coclé,0,218.0
161659,BR,0,0,0,0,216.0
163870,SV,0,0,Occidental,0,216.0
148345,GT,0,Male,0,0,216.0
163870,SV,46-55,0,0,0,216.0
164710,UY,0,Male,0,0,215.0
164710,UY,0,Female,0,0,214.0
164305,MX,0,Male,0,0,213.0
163388,CR,46-55,0,0,0,212.0
