project_id,expected_completes
156065,6670
156201,4905
155631,3250
155422,2500
155422,2500
154426,2319
156065,2184
154426,2110
154426,2038
156065,2000
156065,2000
156065,2000
156065,2000
155316,2000
155316,2000
156065,2000
155829,1997
155829,1991
154426,1835
156313,1749
156313,1749
156274,1748
156313,1747
156313,1746
156313,1743
156313,1743
156410,1741
156410,1740
156448,1740
156274,1739
156448,1737
156448,1733
156410,1731
156410,1730
156275,1725
156448,1719
156275,1716
156276,1692
156276,1649
155629,1500
155629,1496
155853,1425
156123,1257
154664,1130
155675,1030
156123,1008
156438,1000
156519,1000
155631,1000
156519,999
156519,998
156519,995
156519,989
156458,955
155822,947
156458,945
156502,930
156201,905
156201,905
156201,905
156201,905
156201,905
155867,875
155867,875
155867,875
155861,875
155861,875
155867,875
155861,875
155861,875
155136,875
155861,868
155867,866
155861,866
155867,866
155867,862
155861,859
155861,859
155137,858
155867,856
156065,854
156065,854
156065,854
156065,854
156065,854
155798,850
155798,850
155845,845
156328,806
156126,800
156126,800
156126,800
156126,799
156126,798
156126,798
156126,797
156328,783
156328,774
155656,765
155845,750
155631,750
155855,745
155855,744
155932,738
156328,726
156458,715
156179,700
155932,681
155804,675
156502,664
156112,661
156112,661
156112,661
156112,661
156112,661
156502,660
155733,646
155733,627
155733,627
154664,605
155822,600
156123,600
156123,600
155822,600
156123,600
156123,600
156123,600
156126,600
156126,600
156126,600
156126,600
156126,600
156126,599
156126,599
156126,598
155804,596
156051,583
155804,582
156050,567
155898,566
156469,566
155552,556
156472,552
156112,540
156047,539
156502,529
155316,527
156389,526
156468,524
156208,510
153902,500
155492,500
156513,500
155427,500
155427,500
155427,500
155427,500
156386,500
155427,500
155977,500
156208,495
155977,495
156208,495
156072,494
156092,484
155515,481
155515,481
156409,480
156409,479
156377,471
156486,457
154664,456
155669,450
155804,450
155900,446
155856,444
156472,442
155856,441
155856,439
156325,437
156508,435
156325,434
155675,429
155856,425
156386,415
155955,407
156386,404
155223,400
156126,400
156119,400
156297,400
156297,400
156126,400
156126,400
155852,400
156126,400
155223,400
155223,400
155223,400
155852,400
155223,400
155223,398
156502,398
156502,398
156502,396
155223,395
155937,395
155905,393
155917,388
156508,385
155675,375
155675,375
155675,375
155675,375
156013,373
155904,371
155852,370
156013,369
155904,368
155859,367
155904,366
155809,363
155573,354
153902,350
155925,350
155925,350
155904,346
155573,343
155955,342
155899,340
155669,338
155852,336
156179,336
155853,335
155316,333
154664,332
155899,330
155899,330
155316,329
155573,327
156417,323
155992,322
155792,322
156247,321
156247,321
156247,321
156247,321
156246,320
156246,320
155316,319
156246,318
156247,318
156211,318
156246,315
156246,314
156211,311
155669,310
155316,304
154664,302
154664,302
155457,300
155457,300
155457,300
155457,300
155457,300
155457,300
155457,300
156386,300
155457,300
155457,300
156150,300
156150,300
155669,300
155848,300
155848,300
155848,300
155848,300
155925,300
155457,300
155874,299
155675,298
155970,298
155675,295
155675,293
156292,293
156292,293
155970,292
155970,292
155675,292
155970,290
155594,290
156120,289
156089,289
155970,288
155906,288
156008,288
156325,282
156325,282
155970,281
155675,281
155970,281
155896,280
156089,280
156089,280
155896,280
156008,279
156328,277
155676,277
156047,276
155809,275
155970,273
156112,270
156112,270
156112,270
156112,270
156112,270
156112,270
156112,270
156112,270
156112,270
156112,270
156112,270
156112,270
156112,270
156112,270
156112,270
156112,270
156112,270
156112,270
155316,269
155970,268
155937,267
155669,267
155792,262
156328,261
155809,259
156179,259
155804,259
156292,257
156292,257
156292,257
156292,257
156292,257
156292,257
156292,257
156292,257
156292,257
156292,257
156292,257
156292,257
155943,256
155943,256
155316,255
155845,250
155656,250
156063,250
155937,250
156063,248
155656,248
155905,247
156063,247
155984,245
155656,245
155490,245
156063,244
155594,241
155594,240
156096,240
155801,240
155801,240
155905,239
155937,237
156096,237
155905,236
155905,233
155968,233
156006,232
155804,232
155933,232
155937,229
155937,229
156413,228
156413,226
156383,226
156383,226
153902,225
156086,224
155937,223
155809,222
155642,221
155669,221
156472,221
156387,218
156387,218
156387,217
155223,215
156387,215
155223,215
155223,215
155223,215
155223,215
155316,214
156332,213
156387,209
156086,209
155205,207
156086,207
155933,207
155970,206
155792,204
156413,204
155676,204
156413,204
156148,202
156094,200
156409,200
156409,200
155700,200
156409,200
156409,200
156409,200
155223,200
155223,200
156386,200
156094,200
156094,200
156094,200
156090,200
156499,200
156090,200
156090,200
156090,200
156090,200
156090,200
155904,200
154074,200
155594,200
156510,200
156238,200
156238,200
155925,200
155904,200
156148,200
156148,200
156510,200
156510,200
155904,200
155904,200
155925,200
156499,199
156499,199
156499,198
155656,197
156090,197
155851,196
156094,196
155676,196
155933,195
156403,194
156094,194
155804,193
156094,191
156090,190
155899,190
155316,189
156403,189
155573,189
155933,188
155669,188
155223,187
155896,186
156458,186
155899,185
155851,184
155223,184
156086,184
155594,183
155669,183
156094,183
155809,181
155933,181
155223,180
155956,180
155594,180
155594,180
155852,178
155278,176
155490,175
155490,175
155656,173
156286,172
155984,171
155984,171
155874,171
155933,171
155223,171
156413,170
156486,170
156094,170
156094,170
155852,170
155852,170
155316,170
155917,168
155896,168
156489,167
156111,166
156489,165
156413,165
156413,165
155573,163
155573,163
156506,163
156506,162
156489,162
156377,161
153543,160
153543,160
153543,160
153543,160
156129,160
156129,160
153543,160
155984,158
155917,157
156505,156
156505,156
156120,155
155917,153
155904,153
155906,153
155278,151
155278,150
155669,150
155801,150
155594,150
154435,150
155278,150
155278,150
154435,150
155848,150
155848,150
155804,150
154074,150
155278,150
156354,150
155018,149
155917,147
155917,146
155917,146
155845,145
155917,145
155917,145
155933,144
155813,144
155968,144
155917,143
155906,142
156325,141
155896,140
155917,140
156238,140
155917,139
156286,138
156286,138
156286,138
155904,136
155968,135
156120,135
155675,135
155675,134
155675,134
156328,134
155675,134
156403,134
156385,133
156286,133
155675,132
156325,132
155675,132
155675,132
155798,131
155798,131
155798,131
155925,131
155798,131
155798,131
155876,130
155917,127
156286,127
156286,126
156238,126
155905,125
155937,125
155905,125
155900,125
155900,125
155710,125
155900,125
155992,125
156377,125
155937,125
155905,125
155905,125
155700,125
155903,124
156162,123
156162,123
156162,123
156162,123
156162,123
156162,123
156162,123
156162,123
156162,123
156162,123
156096,122
155490,122
156096,121
155898,120
155898,120
156385,120
155801,120
155898,120
155316,120
155937,120
155675,119
156386,119
155992,119
154664,118
153543,118
155863,118
156403,117
155669,117
155675,116
155675,116
155223,115
155223,115
155896,115
155669,112
155925,112
155809,111
156412,110
155933,110
156239,109
154845,109
155933,107
156325,106
155676,106
154293,105
155933,105
156377,105
155995,104
156328,103
156328,103
156328,103
156328,103
156233,103
155765,102
155904,100
156148,100
155971,100
155971,100
155971,100
155594,100
155904,100
154435,100
156148,100
156148,100
155971,100
156510,100
156090,100
156090,100
153902,100
156128,100
156094,100
156128,100
156128,100
156510,100
153161,100
156128,100
153161,100
153161,100
156510,100
153161,100
156150,100
156150,100
156150,100
156150,100
156094,100
156148,100
156403,100
156510,100
156403,100
156509,99
156414,99
156096,99
156094,99
153565,98
156457,98
156509,98
155896,98
156414,98
153902,98
156325,97
156325,97
156325,97
155905,96
155903,96
155933,95
156096,95
155899,94
156176,94
156499,93
155675,92
156111,92
156111,92
156385,92
155899,91
155874,91
155956,90
154074,90
156417,90
153565,90
156377,90
153565,90
155874,90
156175,89
156217,89
156127,88
156127,88
156127,88
156127,88
156127,88
156094,88
156127,88
156127,88
156217,88
155899,88
156325,87
156127,87
156287,87
156127,87
153565,86
155899,86
156127,86
155817,86
155669,86
155899,85
156127,85
154074,85
156175,85
155669,84
155316,84
155954,84
