quota_index,project_id,total_correspondentes,expected_completes,country,1,16,17,19,2,25,27,profiler1010740,profiler1010744,profiler1010745,profiler1010852,profiler1011135,profiler186,profiler282,profiler702,profiler9
0,153353,0,20,6,17-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,153353,0,20,6,30-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,153353,0,80,6,40-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,153353,0,80,6,51-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,154192,33,17,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,154192,36,14,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,154192,69,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,153543,282,118,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,153543,355,45,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
12,153543,0,160,6,18-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,153543,0,160,6,25-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,153543,0,160,6,35-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,153543,0,160,6,45-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,153543,0,160,6,55-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,154293,95,105,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,154293,182,18,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
19,154293,0,80,6,18-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,154293,0,80,6,25-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,154293,0,80,6,35-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,154293,0,80,6,45-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,154293,0,80,6,55-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,153161,0,100,20,18-34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,153161,0,100,20,18-34,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
26,153161,0,100,20,35-54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,153161,0,50,20,35-54,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
28,153161,0,50,20,55-99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,153161,0,100,20,55-99,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
30,154845,0,54,6,18-24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,154845,0,54,6,18-24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
32,154845,0,54,6,25-29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,154845,0,54,6,25-29,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
34,154845,0,54,6,30-34,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
35,154845,0,54,6,35-44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,154845,0,54,6,35-44,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
37,154845,0,109,6,45-55,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
38,154845,0,27,6,56-65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,154845,0,27,6,56-65,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
40,155059,126,4,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,155136,7,875,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,155136,21,77,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
44,155137,24,858,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,155137,30,68,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
50,154581,0,9,13,13-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,154581,0,9,13,18-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,154581,0,9,13,25-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,154581,0,9,13,35-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,154581,0,9,13,55-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,154581,17,6,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,153902,0,100,17,45-54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,153902,0,50,17,45-54,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
59,153902,0,500,17,55-70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,153902,0,350,17,55-70,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
62,153902,39,81,17,0,234,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63,153902,32,98,17,0,236,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,153902,275,225,17,0,240,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,153902,41,39,17,0,236,0,0,2,0,0,0,0,0,0,0,0,0,0,0
69,155205,36,7,15,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
70,155205,8,207,15,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0
71,155205,19,10,15,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0
72,154664,0,302,1,25-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,154664,0,302,1,41-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,154664,0,605,1,56-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,154664,391,456,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
